Product_ID,Product_Name,Category,Subcategory,Brand,Unit_Price_SAR,Cost_Price_SAR,Stock_Quantity,Reorder_Level,Supplier_ID,Weight_kg,Warranty_Months,Rating,Is_Active
PROD-000001,iPhone 14 Pro,Electronics,Smartphones,SaudiMart,2502.5,592.34,126,31,SUP-077,30.65,6,2.6,FALSE
PROD-000002,Samsung Galaxy S23,Electronics,Smartphones,Najdi,1966.17,1351.75,1713,131,SUP-045,28.43,0,4.1,FALSE
PROD-000003,Google Pixel 7,Electronics,Smartphones,RedSea,4224.05,1797.87,1857,183,SUP-011,12.93,24,2.8,FALSE
PROD-000004,OnePlus 11,Electronics,Smartphones,RedSea,4111.37,1789.3,1771,85,SUP-083,31.93,12,4.3,FALSE
PROD-000005,Xiaomi 13,Electronics,Smartphones,AlFaisal,2346.85,2153.16,241,82,SUP-177,40.78,24,2.8,TRUE
PROD-000006,Huawei P60,Electronics,Smartphones,RedSea,849.05,1509.94,1191,74,SUP-163,42.13,36,4.8,FALSE
PROD-000007,Oppo Find X6,Electronics,Smartphones,OasisHome,742.92,2350.71,355,139,SUP-197,18.94,12,3.1,TRUE
PROD-000008,Realme GT,Electronics,Smartphones,DesertBloom,2505.6,920.92,1216,94,SUP-110,34.46,12,4.1,TRUE
PROD-000009,Nothing Phone,Electronics,Smartphones,OasisHome,4462.78,97.96,57,59,SUP-165,5.1,12,3.1,FALSE
PROD-000010,Sony Xperia,Electronics,Smartphones,AlFaisal,3787.68,2678.32,1153,95,SUP-092,44.97,6,3.9,TRUE
PROD-000011,MacBook Pro M2,Electronics,Laptops,OasisHome,695.2,752.52,1616,105,SUP-186,12.31,12,3.5,TRUE
PROD-000012,Dell XPS 15,Electronics,Laptops,DesertBloom,3874.35,1575.38,1972,126,SUP-094,38.54,12,3.3,TRUE
PROD-000013,HP Spectre x360,Electronics,Laptops,SaudiMart,4866.37,2933.5,1722,199,SUP-158,27.4,0,3,FALSE
PROD-000014,Lenovo ThinkPad X1,Electronics,Laptops,Najdi,380.03,1837.58,1843,113,SUP-173,22.9,0,2.7,TRUE
PROD-000015,Asus ZenBook,Electronics,Laptops,GlobalTech,589.27,244.33,1533,155,SUP-028,31.87,6,3,TRUE
PROD-000016,Acer Swift,Electronics,Laptops,OasisHome,3053.63,488.09,150,48,SUP-092,27.31,24,3.3,TRUE
PROD-000017,Microsoft Surface,Electronics,Laptops,Najdi,1021.93,1803.63,1803,183,SUP-094,1.23,24,4.6,TRUE
PROD-000018,Razer Blade,Electronics,Laptops,GlobalTech,4360.69,1116.96,78,187,SUP-155,27.88,0,2.7,TRUE
PROD-000019,MSI Stealth,Electronics,Laptops,RedSea,1116.48,114.19,940,144,SUP-058,7,0,4.2,TRUE
PROD-000020,LG Gram,Electronics,Laptops,Najdi,2835.81,444.94,1317,125,SUP-161,9.52,0,4.6,TRUE
PROD-000021,iPad Pro,Electronics,Tablets,Najdi,4319.58,2803.24,1784,120,SUP-114,20.92,6,4.2,TRUE
PROD-000022,Samsung Galaxy Tab,Electronics,Tablets,GlobalTech,1557.34,244.85,125,137,SUP-087,11.51,36,3.8,FALSE
PROD-000023,Microsoft Surface Pro,Electronics,Tablets,GlobalTech,1392.46,804.28,2000,67,SUP-111,36.09,12,2.8,TRUE
PROD-000024,Lenovo Tab,Electronics,Tablets,SaudiMart,3973.67,2013.43,1640,85,SUP-188,19.14,0,3.2,TRUE
PROD-000025,Amazon Fire HD,Electronics,Tablets,Premium,3672.51,2502.52,1490,149,SUP-191,3.26,24,3.3,TRUE
PROD-000026,Huawei MatePad,Electronics,Tablets,Premium,3635.41,2500.66,1860,99,SUP-014,17.85,12,4.1,TRUE
PROD-000027,Xiaomi Pad,Electronics,Tablets,OasisHome,2794.87,1755.2,1000,106,SUP-035,39.84,36,3.7,TRUE
PROD-000028,Realme Pad,Electronics,Tablets,RedSea,1678.64,1824.51,1868,164,SUP-143,47.14,36,2.9,TRUE
PROD-000029,Google Pixel Tablet,Electronics,Tablets,AlFaisal,1733.94,890.93,1491,186,SUP-072,7.65,0,2.5,TRUE
PROD-000030,Honor Pad,Electronics,Tablets,ValueMax,3061.27,362.41,1558,141,SUP-115,26.38,12,3.4,TRUE
PROD-000031,Sony WH-1000XM5,Electronics,Headphones,AlFaisal,2209.32,1862.88,778,118,SUP-033,48.83,24,4,TRUE
PROD-000032,Bose QuietComfort,Electronics,Headphones,OasisHome,2839.09,2405.21,1897,22,SUP-009,37.33,6,4.1,TRUE
PROD-000033,Apple AirPods Max,Electronics,Headphones,OasisHome,2980.31,2583.08,375,183,SUP-095,20.08,6,3.6,FALSE
PROD-000034,Sennheiser Momentum,Electronics,Headphones,OasisHome,540.97,2452.88,323,99,SUP-093,26.59,24,4.5,TRUE
PROD-000035,JBL Tour,Electronics,Headphones,OasisHome,4999.07,2216.36,239,36,SUP-114,17.62,24,3.1,TRUE
PROD-000036,Beats Studio,Electronics,Headphones,AlFaisal,2792.56,1238.48,1826,95,SUP-145,31.64,0,3.3,TRUE
PROD-000037,Audio-Technica,Electronics,Headphones,Najdi,2902.03,939.91,1132,146,SUP-141,23.83,24,4.8,TRUE
PROD-000038,Skullcandy Crusher,Electronics,Headphones,AlFaisal,4755.34,2652.96,441,109,SUP-179,33.49,36,2.7,TRUE
PROD-000039,Jabra Elite,Electronics,Headphones,AlFaisal,3920.54,841.59,1836,64,SUP-085,21.72,24,3,FALSE
PROD-000040,Anker Soundcore,Electronics,Headphones,RedSea,1007.55,2338,1752,51,SUP-111,4.21,6,2.5,TRUE
PROD-000041,Canon EOS R6,Electronics,Cameras,Premium,2112.18,1604.33,1479,200,SUP-122,27.96,6,4.2,FALSE
PROD-000042,Sony A7 IV,Electronics,Cameras,Hijazi,1662.61,948.96,813,188,SUP-113,39.53,0,4.2,FALSE
PROD-000043,Nikon Z6 II,Electronics,Cameras,AlFaisal,195.11,1156.41,1261,171,SUP-027,34.23,6,5,TRUE
PROD-000044,Fujifilm X-T5,Electronics,Cameras,Najdi,2597.17,1699.6,563,94,SUP-021,21.08,36,3.1,TRUE
PROD-000045,Panasonic Lumix,Electronics,Cameras,GlobalTech,449.45,1149.51,1305,158,SUP-082,15.68,0,2.9,TRUE
PROD-000046,Olympus OM-D,Electronics,Cameras,GlobalTech,2596.72,1184.4,1419,188,SUP-003,35.82,24,3.1,TRUE
PROD-000047,Leica Q3,Electronics,Cameras,AlFaisal,3702.42,1653.19,1775,63,SUP-038,29.78,0,3.6,TRUE
PROD-000048,GoPro Hero 11,Electronics,Cameras,Najdi,479.97,2088.19,126,132,SUP-189,40.61,36,3.8,FALSE
PROD-000049,DJI Osmo,Electronics,Cameras,GlobalTech,3245.21,878.61,592,194,SUP-083,47.67,12,4.8,TRUE
PROD-000050,Insta360,Electronics,Cameras,SaudiMart,34.82,1940.03,1602,106,SUP-173,38.19,24,4.3,FALSE
PROD-000051,Apple Watch Ultra,Electronics,Smart Watches,RedSea,618.71,2666.82,1840,127,SUP-192,41.27,12,4.7,TRUE
PROD-000052,Samsung Galaxy Watch,Electronics,Smart Watches,GlobalTech,2015.86,608.31,358,113,SUP-057,42.98,6,4.3,TRUE
PROD-000053,Garmin Fenix,Electronics,Smart Watches,SaudiMart,1672.6,2205.91,948,196,SUP-130,40.7,24,4.7,FALSE
PROD-000054,Fitbit Sense,Electronics,Smart Watches,SaudiMart,946.39,2719.68,689,25,SUP-117,35.98,24,3.6,TRUE
PROD-000055,Huawei Watch,Electronics,Smart Watches,Najdi,2884.26,2023.96,39,151,SUP-093,35.62,24,2.7,TRUE
PROD-000056,Amazfit GTR,Electronics,Smart Watches,Najdi,2571.79,1233.99,708,73,SUP-035,19.34,12,3.7,TRUE
PROD-000057,Polar Vantage,Electronics,Smart Watches,RedSea,334.6,2020.08,28,192,SUP-193,41.91,6,3.9,TRUE
PROD-000058,Suunto 9,Electronics,Smart Watches,Premium,4221.28,960.51,1612,119,SUP-013,0.46,0,3.9,TRUE
PROD-000059,TicWatch Pro,Electronics,Smart Watches,SaudiMart,4509.85,1468.9,793,181,SUP-056,26.61,36,2.8,TRUE
PROD-000060,Withings ScanWatch,Electronics,Smart Watches,ValueMax,3162.55,442.13,166,164,SUP-025,25.35,36,4.5,TRUE
PROD-000061,PlayStation 5,Electronics,Gaming Consoles,ValueMax,2678.41,2626.74,263,44,SUP-106,16.69,0,4.6,TRUE
PROD-000062,Xbox Series X,Electronics,Gaming Consoles,Hijazi,3689.05,1374.15,1524,22,SUP-027,25.62,36,3.6,FALSE
PROD-000063,Nintendo Switch,Electronics,Gaming Consoles,AlFaisal,3750.76,385.41,268,98,SUP-153,39.16,12,2.8,TRUE
PROD-000064,Steam Deck,Electronics,Gaming Consoles,DesertBloom,2559.17,2721.68,1707,123,SUP-112,16.92,0,3.7,FALSE
PROD-000065,ASUS ROG Ally,Electronics,Gaming Consoles,OasisHome,402.32,257.67,1258,137,SUP-075,28.51,0,3.1,TRUE
PROD-000066,PlayStation VR2,Electronics,Gaming Consoles,Hijazi,3386.69,1284.76,373,108,SUP-088,30.88,24,3.6,TRUE
PROD-000067,Meta Quest 3,Electronics,Gaming Consoles,GlobalTech,477.75,1559.88,261,102,SUP-112,37.7,24,4.1,TRUE
PROD-000068,Atari VCS,Electronics,Gaming Consoles,GlobalTech,1926.11,1791.65,933,63,SUP-121,4.87,12,3.1,TRUE
PROD-000069,Analogue Pocket,Electronics,Gaming Consoles,Najdi,873.19,286.26,1511,69,SUP-074,6.16,12,2.6,TRUE
PROD-000070,Retro Game Console,Electronics,Gaming Consoles,RedSea,2020.22,2143.11,637,171,SUP-107,42.29,36,3.6,FALSE
PROD-000071,Samsung Neo QLED,Electronics,TVs,RedSea,3233.92,892.95,1433,100,SUP-078,35.47,36,2.9,FALSE
PROD-000072,LG OLED C3,Electronics,TVs,OasisHome,3079.73,1676.71,362,47,SUP-195,6.44,12,4.8,FALSE
PROD-000073,Sony Bravia XR,Electronics,TVs,Hijazi,1408.28,127.64,1595,109,SUP-015,10.98,0,3.4,TRUE
PROD-000074,TCL Mini LED,Electronics,TVs,RedSea,3824.27,1142.7,110,159,SUP-181,33.17,12,4.2,FALSE
PROD-000075,Hisense U8K,Electronics,TVs,OasisHome,2734.38,2369.3,600,142,SUP-126,4,12,2.7,TRUE
PROD-000076,Philips Ambilight,Electronics,TVs,OasisHome,3211.42,1559.75,1425,183,SUP-064,13.25,0,2.6,TRUE
PROD-000077,Panasonic OLED,Electronics,TVs,Hijazi,4137.64,412.94,1495,178,SUP-115,21.14,24,3.4,TRUE
PROD-000078,Sharp Aquos,Electronics,TVs,SaudiMart,4385.34,2455.44,1293,32,SUP-061,44.61,6,3,FALSE
PROD-000079,Vizio Quantum,Electronics,TVs,Hijazi,4276.97,1465.08,524,99,SUP-025,1.77,36,3.1,FALSE
PROD-000080,Skyworth Android TV,Electronics,TVs,GlobalTech,3750.49,2287.65,1064,67,SUP-181,2.84,0,3,TRUE
PROD-000081,Sonos Era 300,Electronics,Speakers,SaudiMart,3117.02,742.57,1509,150,SUP-047,23.92,0,4.8,FALSE
PROD-000082,Bose Home Speaker,Electronics,Speakers,OasisHome,3442.1,2763.42,1670,33,SUP-055,4.08,0,3.6,FALSE
PROD-000083,JBL Flip 6,Electronics,Speakers,RedSea,4507.17,2109.35,197,148,SUP-069,23.8,36,3.7,FALSE
PROD-000084,Marshall Stanmore,Electronics,Speakers,Premium,2752.3,2964.23,716,148,SUP-161,35.26,24,4,TRUE
PROD-000085,Harman Kardon,Electronics,Speakers,Hijazi,3507.34,1435.45,202,94,SUP-154,4.42,36,4.6,FALSE
PROD-000086,Bang & Olufsen,Electronics,Speakers,GlobalTech,3241.82,1839.51,1906,116,SUP-151,35.45,6,4.5,TRUE
PROD-000087,KEF LS50,Electronics,Speakers,GlobalTech,118.44,2582.03,1971,72,SUP-035,38.12,36,4.9,FALSE
PROD-000088,Devialet Phantom,Electronics,Speakers,Premium,4285.37,1629.66,1352,175,SUP-147,26.31,6,2.5,TRUE
PROD-000089,Anker Soundcore,Electronics,Speakers,DesertBloom,4711.2,2818.44,677,35,SUP-165,11.49,0,4.7,TRUE
PROD-000090,Edifier,Electronics,Speakers,RedSea,482.51,823.56,344,30,SUP-188,22.2,24,3.4,TRUE
PROD-000091,Wireless Charger,Electronics,Accessories,OasisHome,1091.77,539.92,1152,92,SUP-154,18.74,24,2.6,FALSE
PROD-000092,USB-C Hub,Electronics,Accessories,GlobalTech,4969.22,1623.51,1610,181,SUP-175,28.4,36,3.7,TRUE
PROD-000093,Power Bank,Electronics,Accessories,AlFaisal,1041.95,2871.08,1111,133,SUP-102,3.59,36,3.6,FALSE
PROD-000094,Phone Case,Electronics,Accessories,Najdi,774.41,2849.91,1925,70,SUP-086,15.07,12,3.5,TRUE
PROD-000095,Screen Protector,Electronics,Accessories,RedSea,3610.47,2961.53,246,108,SUP-190,9.95,36,4.1,TRUE
PROD-000096,Cable Organizer,Electronics,Accessories,Premium,4118.19,1925.16,1777,170,SUP-183,43.32,6,4.9,TRUE
PROD-000097,Laptop Stand,Electronics,Accessories,DesertBloom,4352.66,2737.46,65,153,SUP-197,16.66,0,3.3,TRUE
PROD-000098,Webcam,Electronics,Accessories,DesertBloom,1409.14,2931.36,923,28,SUP-056,20.28,12,3,TRUE
PROD-000099,Microphone,Electronics,Accessories,Hijazi,3618.33,659.45,418,96,SUP-163,7.54,0,3.2,FALSE
PROD-000100,RGB Mouse Pad,Electronics,Accessories,GlobalTech,4012.36,1720.45,987,120,SUP-042,42.27,24,4.5,FALSE
PROD-000101,Cotton T-Shirt,Fashion,Men's Clothing,ValueMax,4269.99,1980.68,1502,95,SUP-187,7.14,36,2.9,TRUE
